player_id, year, batter_hand, batters_faced, hits, doubles, triples, home_runs, walks, strikeouts, intentional_walks, hit_batters
279824.0, 2014, L, 231, 57, 14, 1, 4, 13, 34, 0, 3
279824.0, 2014, R, 626, 171, 42, 0, 11, 33, 85, 0, 1
279824.0, 2015, L, 220, 60, 11, 1, 8, 8, 21, 0, 1
279824.0, 2015, R, 607, 154, 35, 5, 14, 25, 70, 4, 6
518516.0, 2014, L, 187, 39, 9, 0, 1, 5, 58, 0, 1
518516.0, 2014, R, 686, 155, 31, 2, 20, 38, 161, 3, 5
518516.0, 2015, L, 149, 29, 6, 0, 2, 6, 49, 0, 2
518516.0, 2015, R, 720, 152, 24, 5, 19, 33, 185, 2, 5
542609.0, 2015, L, 51, 12, 1, 0, 1, 10, 14, 0, 0
542609.0, 2015, R, 70, 15, 4, 0, 1, 5, 25, 0, 0
150359.0, 2014, L, 456, 93, 28, 2, 10, 60, 87, 1, 14
150359.0, 2014, R, 479, 112, 23, 2, 10, 36, 103, 1, 2
150359.0, 2015, L, 317, 69, 9, 2, 4, 32, 55, 1, 11
150359.0, 2015, R, 382, 105, 15, 3, 7, 17, 88, 1, 0
430634.0, 2014, L, 3, 1, 0, 0, 0, 0, 0, 0, 0
430634.0, 2014, R, 0, 0, 0, 0, 0, 0, 0, 0, 0
454537.0, 2014, L, 111, 22, 0, 0, 2, 12, 16, 0, 0
454537.0, 2014, R, 161, 36, 12, 0, 4, 13, 30, 3, 3
572750.0, 2014, L, 28, 11, 1, 2, 2, 2, 0, 0, 0
572750.0, 2014, R, 48, 12, 4, 0, 0, 5, 3, 1, 0
572750.0, 2015, L, 191, 55, 17, 0, 8, 29, 19, 3, 2
572750.0, 2015, R, 179, 47, 13, 1, 5, 13, 25, 1, 2
502239.0, 2014, L, 242, 74, 18, 2, 5, 24, 30, 1, 1
502239.0, 2014, R, 257, 49, 8, 1, 4, 31, 75, 1, 3
502239.0, 2015, L, 72, 16, 1, 1, 2, 5, 15, 1, 1
502239.0, 2015, R, 115, 28, 5, 0, 2, 11, 21, 0, 1
430912.0, 2014, L, 182, 41, 7, 0, 6, 18, 34, 0, 1
430912.0, 2014, R, 192, 40, 10, 1, 7, 14, 36, 2, 1
430912.0, 2015, L, 130, 36, 5, 4, 6, 10, 14, 0, 3
430912.0, 2015, R, 141, 35, 12, 0, 6, 10, 27, 0, 1
491708.0, 2014, L, 9, 2, 0, 0, 0, 1, 2, 0, 0
491708.0, 2014, R, 22, 6, 1, 0, 2, 3, 6, 0, 0
491708.0, 2015, L, 125, 23, 6, 0, 3, 15, 26, 1, 2
491708.0, 2015, R, 193, 40, 7, 1, 4, 14, 47, 1, 4
425861.0, 2014, L, 7, 1, 0, 0, 0, 0, 1, 0, 0
425861.0, 2014, R, 8, 6, 0, 1, 1, 0, 0, 0, 0
605169.0, 2014, L, 38, 11, 1, 0, 1, 3, 8, 0, 1
605169.0, 2014, R, 48, 8, 1, 0, 0, 2, 17, 0, 1
605169.0, 2015, L, 54, 8, 1, 0, 1, 3, 31, 0, 0
605169.0, 2015, R, 64, 10, 1, 0, 1, 4, 27, 0, 2
425626.0, 2014, L, 115, 34, 5, 1, 7, 6, 17, 0, 0
425626.0, 2014, R, 314, 67, 17, 2, 3, 28, 67, 3, 4
425626.0, 2015, L, 75, 22, 8, 0, 0, 8, 16, 0, 2
425626.0, 2015, R, 121, 30, 5, 0, 6, 14, 22, 1, 1
433584.0, 2014, L, 339, 71, 15, 0, 8, 48, 32, 3, 2
433584.0, 2014, R, 383, 85, 21, 3, 11, 25, 73, 4, 7
433584.0, 2015, L, 175, 42, 8, 3, 2, 17, 10, 2, 0
433584.0, 2015, R, 182, 48, 13, 1, 7, 9, 32, 0, 1
502304.0, 2014, L, 119, 24, 5, 0, 3, 8, 32, 0, 2
502304.0, 2014, R, 140, 37, 3, 0, 2, 8, 35, 0, 1
502304.0, 2015, L, 30, 7, 1, 1, 0, 2, 6, 0, 0
502304.0, 2015, R, 77, 18, 4, 0, 4, 7, 9, 1, 1
518526.0, 2014, L, 6, 0, 0, 0, 0, 0, 0, 0, 1
518526.0, 2014, R, 6, 1, 0, 0, 0, 0, 0, 0, 1
518526.0, 2015, L, 4, 1, 0, 0, 0, 0, 1, 0, 0
518526.0, 2015, R, 13, 5, 1, 0, 2, 0, 4, 0, 0
471911.0, 2014, L, 253, 45, 6, 0, 3, 19, 65, 0, 0
471911.0, 2014, R, 276, 58, 9, 1, 4, 10, 75, 1, 3
471911.0, 2015, L, 331, 66, 15, 1, 10, 23, 95, 1, 0
471911.0, 2015, R, 399, 88, 16, 4, 8, 20, 121, 1, 5
488768.0, 2014, L, 252, 55, 11, 3, 5, 19, 48, 3, 0
488768.0, 2014, R, 254, 55, 11, 1, 2, 10, 45, 0, 1
488768.0, 2015, L, 375, 94, 22, 4, 14, 46, 71, 1, 1
488768.0, 2015, R, 429, 106, 18, 2, 5, 20, 94, 1, 5
433586.0, 2014, L, 88, 16, 3, 0, 1, 7, 23, 2, 0
433586.0, 2014, R, 130, 19, 2, 0, 2, 8, 22, 0, 3
433586.0, 2015, L, 119, 27, 2, 3, 5, 14, 33, 2, 1
433586.0, 2015, R, 125, 24, 2, 0, 1, 9, 29, 0, 1
612434.0, 2015, L, 41, 10, 2, 0, 2, 6, 8, 1, 0
612434.0, 2015, R, 42, 11, 3, 1, 2, 4, 10, 1, 0
446399.0, 2014, L, 91, 20, 2, 2, 2, 8, 25, 0, 1
446399.0, 2014, R, 143, 26, 3, 1, 0, 19, 51, 4, 0
446399.0, 2015, L, 83, 15, 0, 2, 1, 4, 33, 0, 2
446399.0, 2015, R, 131, 24, 6, 0, 3, 9, 37, 3, 0
458584.0, 2014, L, 15, 6, 1, 0, 1, 0, 2, 0, 0
458584.0, 2014, R, 15, 4, 1, 0, 0, 0, 3, 0, 0
458584.0, 2015, L, 103, 19, 2, 0, 1, 4, 23, 0, 2
458584.0, 2015, R, 86, 21, 1, 0, 3, 10, 24, 2, 0
468504.0, 2014, L, 127, 26, 7, 0, 3, 19, 14, 1, 0
468504.0, 2014, R, 145, 37, 11, 1, 5, 9, 28, 0, 1
468504.0, 2015, L, 54, 15, 1, 1, 3, 7, 6, 0, 0
468504.0, 2015, R, 57, 9, 3, 0, 1, 3, 15, 0, 0
605177.0, 2014, L, 16, 3, 1, 0, 0, 1, 4, 0, 1
605177.0, 2014, R, 44, 10, 1, 0, 0, 7, 6, 1, 0
605177.0, 2015, L, 125, 20, 6, 0, 1, 11, 24, 1, 1
605177.0, 2015, R, 181, 36, 10, 0, 2, 19, 34, 5, 0
501955.0, 2014, L, 137, 30, 3, 1, 1, 14, 28, 1, 1
501955.0, 2014, R, 126, 27, 5, 0, 2, 10, 31, 2, 2
501955.0, 2015, L, 61, 21, 2, 1, 5, 2, 10, 0, 0
501955.0, 2015, R, 67, 17, 6, 1, 1, 7, 13, 0, 1
547973.0, 2014, L, 43, 5, 1, 0, 0, 3, 25, 0, 1
547973.0, 2014, R, 159, 16, 5, 0, 1, 21, 81, 0, 1
547973.0, 2015, L, 76, 9, 2, 0, 0, 11, 38, 0, 1
547973.0, 2015, R, 202, 34, 2, 0, 3, 22, 78, 1, 4
543022.0, 2014, L, 56, 8, 1, 0, 1, 5, 8, 0, 0
543022.0, 2014, R, 45, 13, 2, 0, 3, 3, 12, 0, 2
445926.0, 2014, L, 350, 78, 8, 0, 8, 29, 68, 1, 3
445926.0, 2014, R, 271, 64, 10, 0, 9, 20, 68, 2, 2
445926.0, 2015, L, 364, 98, 22, 1, 14, 23, 66, 1, 2
445926.0, 2015, R, 308, 66, 9, 0, 4, 25, 70, 1, 0
136600.0, 2014, L, 62, 18, 0, 2, 1, 3, 9, 0, 0
136600.0, 2014, R, 161, 51, 9, 1, 6, 13, 27, 1, 1
136600.0, 2015, L, 12, 4, 1, 0, 1, 0, 2, 0, 0
136600.0, 2015, R, 23, 13, 2, 0, 2, 1, 2, 1, 0
