player_id, pitcher_hand, batter_hand, pitch_type, count, speed, h_mov, v_mov, h_rel, v_rel
592644, R, R, Fourseam, 36, 92.060000, -2.120000, 11.500000, -1.500000, 6.400000
592644, R, R, Change, 1, 84.120000, -4.900000, 8.970000, -1.760000, 6.300000
592644, R, R, Slider, 14, 83.910000, 2.850000, 3.020000, -1.790000, 6.240000
592644, R, R, Curve, 7, 77.320000, 5.260000, -4.430000, -1.610000, 6.360000
592644, R, L, Fourseam, 14, 91.480000, -1.980000, 10.830000, -1.650000, 6.370000
592644, R, L, Change, 4, 83.900000, -3.770000, 7.710000, -1.880000, 6.290000
592644, R, L, Curve, 3, 77.810000, 5.290000, -5.560000, -1.720000, 6.360000
425794, R, R, Fourseam, 244, 90.810000, -2.290000, 8.540000, -1.250000, 6.240000
425794, R, R, Sinker, 655, 90.990000, -7.380000, 6.520000, -1.360000, 6.170000
425794, R, R, Change, 5, 83.880000, -7.540000, 4.840000, -1.370000, 6.350000
425794, R, R, Curve, 517, 74.880000, 9.730000, -8.220000, -1.190000, 6.290000
425794, R, R, Cutter, 593, 85.820000, 3.160000, 3.850000, -1.300000, 6.290000
425794, R, L, Fourseam, 296, 90.800000, -2.170000, 8.490000, -1.350000, 6.280000
425794, R, L, Sinker, 305, 90.680000, -7.420000, 6.190000, -1.420000, 6.170000
425794, R, L, Change, 73, 82.890000, -7.200000, 3.800000, -1.430000, 6.270000
425794, R, L, Curve, 453, 74.410000, 9.710000, -8.720000, -1.240000, 6.340000
425794, R, L, Cutter, 467, 85.980000, 2.870000, 4.000000, -1.370000, 6.290000
476589, R, R, Fourseam, 734, 93.560000, -2.850000, 9.610000, -1.370000, 5.950000
476589, R, R, Sinker, 199, 92.760000, -7.810000, 6.670000, -1.550000, 5.870000
476589, R, R, Change, 284, 84.980000, -8.390000, 3.970000, -1.560000, 5.840000
476589, R, R, Slider, 670, 87.850000, 3.550000, 3.580000, -1.470000, 6.030000
476589, R, R, Curve, 200, 80.150000, 4.350000, -6.730000, -1.450000, 6.000000
