player_id, year, pitcher_hand, plate_appearences, hits, doubles, triples, home_runs, walks, strikeouts, intentional_walks, hit_by_pitch
542993.0, 2014, L, 6, 1, 0, 0, 0, 0, 0, 0, 0
542993.0, 2014, R, 0, 0, 0, 0, 0, 0, 0, 0, 0
542993.0, 2015, L, 177, 52, 8, 1, 2, 8, 26, 0, 3
542993.0, 2015, R, 378, 101, 10, 8, 3, 18, 55, 1, 3
460077.0, 2014, L, 42, 8, 1, 0, 2, 5, 11, 1, 0
460077.0, 2014, R, 150, 24, 5, 1, 1, 12, 30, 0, 2
460077.0, 2015, L, 32, 7, 1, 0, 0, 1, 9, 0, 1
460077.0, 2015, R, 88, 14, 2, 0, 1, 5, 17, 0, 1
456714.0, 2014, L, 155, 44, 7, 0, 4, 15, 26, 3, 1
456714.0, 2014, R, 448, 105, 25, 0, 5, 26, 70, 0, 4
456714.0, 2015, L, 169, 28, 9, 0, 4, 29, 23, 4, 0
456714.0, 2015, R, 432, 107, 19, 1, 11, 23, 78, 0, 7
542994.0, 2014, L, 4, 0, 0, 0, 0, 1, 2, 0, 0
542994.0, 2014, R, 2, 0, 0, 0, 0, 0, 1, 0, 0
542994.0, 2015, L, 113, 28, 4, 0, 4, 5, 32, 0, 0
542994.0, 2015, R, 163, 43, 8, 0, 4, 11, 50, 0, 3
621439.0, 2015, L, 45, 5, 2, 0, 0, 2, 18, 0, 0
621439.0, 2015, R, 93, 22, 5, 1, 2, 4, 26, 0, 1
407781.0, 2014, L, 173, 42, 8, 0, 9, 8, 47, 6, 2
407781.0, 2014, R, 464, 114, 20, 2, 16, 27, 138, 1, 6
407781.0, 2015, L, 139, 35, 11, 0, 6, 10, 28, 2, 0
407781.0, 2015, R, 405, 90, 14, 5, 17, 19, 117, 0, 4
452678.0, 2014, L, 184, 43, 15, 1, 3, 7, 32, 0, 3
452678.0, 2014, R, 432, 90, 16, 3, 11, 42, 76, 2, 4
452678.0, 2015, L, 160, 43, 11, 1, 3, 4, 25, 1, 1
452678.0, 2015, R, 391, 91, 17, 4, 12, 32, 82, 3, 2
